review_id,user_id,prod_id,rating,label,date,review_text,filtered
422094,208352,3619,1.0,1,2014-07-21,"Went here for lunch to order espresso, coffee and paninis. Espresso is bland and diluted whereas coffee was flavorless and luke warm. Food quality used to be fantastic but now panini are served cold and dry. we complained to the server but he didn't respond to our lack of satisfaction. So one star to food and service quality!",False
43928,40234,375,5.0,1,2009-06-17,"I'm glad I live 1000 miles away, or else with places like this filled with food and people so easy to love I would never ever see my toes again. The ladies behind the counters rawk! Liz and (I'm so bad with names, so I will just call her beautiful lady 2) put my first night in philadelphia to bed with their warm smiles, and awesome sense of taste as I just let them fix me up with my cheese steak the way they liked it and it was goooood. Provolone, onions, mushrooms, and then I threw some flaked peppers and jalapenos on the top to be finished with a Yuengling... Damn. this place is money... Sitting next to regulars who celebrate their birthdays here and hungry Phillies fans while watching the game on the little flat screen it was a nice glimpse into daily Philadelphia life.",False
258624,26059,2233,3.0,1,2013-08-28,"Nice that they have a parking lot. I skipped over a lot of eateries in the Ironbound because of the parking issue. I ordered a sirloin which came out as 2"" thick slab. Wow! It came with lots of sides as well.",False
221457,132767,1920,2.0,1,2012-02-01,"Meh is what it says when you give a restaurant a two star rating here, and meh is exactly how I felt upon walking out after my meal.  Don't get me wrong, the food was wonderful, a real treat and a luscious throw back to the best trattorias of southern Italy. And I'm really not a complainer when it comes to restaurants, but my experience made me want to take the time and sit to write a review. The overall experience fell well short of the expectations we have of the the top restauranteurs in this city.  The service was mediocre at best.  Most of the staff left me with the feeling they were ""overtrained"" to be nice.  I like a more relaxed natural discourse with the staff than that especially in this type setting.  The waiter was confusing in explaining the menu, eventually admitting there were no special.  It was just that the menu had recently and completely changed.  The bus boy whisked a dish away without first asking.  I really wanted some more of that sauce on my arancina oopss...too late.  He never bothered asking if I was done before grabbing the dish.   Also Marc, and I know you and your staff read these reviews, would it kill you to put more than one amarena cherry in the tartufo?  I know they're a little pricey, but often people want to share desserts.  It would be nice for each person to get a full effect of the flavors the  chef intended.  Especially since the menu says cherries (plural). After touting the flavorgasm of amarena cherries to my significant other, upon finally finding one and digging through the rest of my tartufo  it was ""Oh sorry honey, I had the only one they put in the dessert.  And jury's still out on that bread.  I'm pretty sure I can bake the same thing in my bread baker and the recipe that came with it now that I know to just add sea salt on top.  And salt does seem to be a common flavor which stands out in most of the dishes.  Particularly the pasta. The ambiance was very nice, but rather loud if you like conversation that's especially personal in nature given the next tables are five inches away from your elbow.  I did enjoy hearing about the sex life of the two energetic young ladies at the table next to ours though.  The four of us decided we're going out together next week to try a Garcas restaurant.  Thanks Marc! Seriously, it's quite a shame when the food is this good that so many other things seemingly have fallen through the cracks.",False
398211,200363,3331,5.0,1,2014-07-23,"As far as pizza places go, Pizza 1 IS IT!  Delicious food, reasonable prices, fast delivery. I'm so happy they opened this additional location because it's closer to where I live. Try it once and you're hooked.",False
426868,210061,3677,5.0,1,2012-03-25,"Went here for brunch with my BF, my friend and her husband on a Sunday...EXCELLENT!! Servers were VERY attentive and educated us on what was good, not and what wasn't available. The Apple cobbler is to die for..LOVED IT!! Great food and great service. Grits with shrimps and lobster...good..small portion but don't let it fool you, very filling:-)",False
90854,49045,828,3.0,1,2012-01-14,"Came here with the boyfriend the day after Christmas...big mistake! The place was a zoo! This, however, did not deter us from exploring. It has everything you can possibly imagine; cafe, steakhouse, Italian restaurant, sandwich ""shop""/station, a veggie station, a sea food station, a bread station, a dessert station, a pizza station, a Salumi & Formaggi station where you can snack on cheeses and meats and sip some wine, oh yes and of course a market where you can purchase many goodies to take home with you. After exploring and putting our name down on every station so that we could sit down and enjoy all these wonderful things we were seeing, we wandered back to the piazza and were able to nab half of a marble counter (which by the way, are quite nice and perfect for a quick bite and drink)...We ordered a salad (b/c they ran out of the daily special soup/sandwhich combo) and a plate of cheese/meats.  Perhaps it was the starvation in me, but i deemed it delicious! If anything its a nice way to sample cheeses you might not otherwise have a chance to.  We made our way to the dessert/cafe area and I ordered a lovely affogato and the bf had a gelato.   Will I come again; yes! Just not during the holidays.",False
404414,202586,3432,5.0,1,2014-08-22,"This place was so delicious. My boyfriend and I tried the curry chicken and jerk chicken with cabbage, festival and rice and beans. Highly recommend stopping by and checking it out!",False
330001,15990,2870,5.0,1,2008-02-15,"This is one of my all-time favorite restaurants in the city.  I should disclose that I'm a huge Batali fan.  Say what you will about his empire but I've never had a bad meal at any of his restaurants.  The ambience at Casa Mono is just perfect (though being located at 17th and Irving helps it a lot).  Each time I go, I somehow end up at the same table, in the front at one of those desk/tables where the water glass has been hidden inside the table.  It's prob less cramped than the majority of the restaurant and allows for less noise and plenty of gazing into the other person's eyes.   Reservations at a decent hour (8:00-9:30) for dinner are as elusive as the waitstaff can be but I will gladly go through all of that for the food.  The sweetbreads are crunchy on the outside and densely pate-esque on the inside.  I order octopus almost any time it's on a menu and was not disappointed.  The duck is cooked perfectly and disappeared so fast, I caught myself wanting to order a second.  The Lamb suffered the same heroic end.  The quail managed to come out tender while somewhat crispy.   I wish I could have shrunk myself to the point where it would have become a huge turkey-sized quail.  We had the Juan Gill ($15 bottle marked up to $40 which in my book is fair since it's a good value wine) with our meal and it was just perfect with everything.  The wine list is rather extensive and you'll find plenty of great choices.   Proportions are small but the dishes pack a lot in taste.  Batali is usually very good at providing a contrast in textures and manages to combine flavors in new and provocative ways all the time.   Anyone who's not happy with Casa Mono should not eat there, that way, those of us who do like eating there can actually get in for dinner..",False
274527,154852,2370,5.0,-1,2013-06-25,"Pizza Brain is a high quality pizza shop behind a vintage veil.  The setting is simple and mellow.  Bar stools and memorabilia face the oven and a few tables are set up on the Little Baby's side.  The service is free spirited and seem like they enjoy making pizza.  No use spoiling the experience, it's worth it for the pizza. The pizza is good.  One of the best plain pies I've had in the area, affectionately named ""Jane"" by the creators.  The specialty and white pies are high quality and worth the buy, but I constantly find my self coming back for a slice of the plain Jane.  It's a combination of its parts: the crust is crunchy with black pepper polishing the bottom, the sauce is sweet and slightly spicy and the cheese brings it all together.  The addition of fresh basil on top is both aesthetic and tasty.  Cowabunga dude.  *****",True
